ALAVA          ,PAIS VASCO
ALBACETE       ,CASTILLA LA MANCHA
ALICANTE       ,COMUNID. VALENCIANA
ALMERIA        ,ANDALUCIA
AVILA          ,CASTILLA Y LEON
BADAJOZ        ,EXTREMADURA
BALEARES       ,ISLAS BALEARES
BARCELONA      ,CATALU헤
BURGOS         ,CASTILLA Y LEON
CACERES        ,EXTREMADURA
CADIZ          ,ANDALUCIA
CASTELLON      ,COMUNID. VALENCIANA
CIUDAD REAL    ,CASTILLA LA MANCHA
CORDOBA        ,ANDALUCIA
LA CORU헤      ,GALICIA
CUENCA         ,CASTILLA LA MANCHA
GIRONA         ,CATALU헤
GRANADA        ,ANDALUCIA
GUADALAJARA    ,CASTILLA LA MANCHA
GUIPUZCOA      ,PAIS VASCO
HUELVA         ,ANDALUCIA
HUESCA         ,ARAGON
JAEN           ,ANDALUCIA
LEON           ,CASTILLA Y LEON
LLEIDA         ,CATALU헤
LA RIOJA       ,LA RIOJA
LUGO           ,GALICIA
MADRID         ,COMUNIDAD DE MADRID
MALAGA         ,ANDALUCIA
MURCIA         ,REGION DE MURCIA
NAVARRA        ,COM.FORAL DE NAVARRA
ORENSE         ,GALICIA
ASTURIAS       ,PRINCIP. DE ASTURIAS
PALENCIA       ,CASTILLA Y LEON
LAS PALMAS     ,CANARIAS
PONTEVEDRA     ,GALICIA
SALAMANCA      ,CASTILLA Y LEON
S.C.TENERIFE   ,CANARIAS
CANTABRIA      ,CANTABRIA
SEGOVIA        ,CASTILLA Y LEON
SEVILLA        ,ANDALUCIA
SORIA          ,CASTILLA Y LEON
TARRAGONA      ,CATALU헤
TERUEL         ,ARAGON
TOLEDO         ,CASTILLA LA MANCHA
VALENCIA       ,COMUNID. VALENCIANA
VALLADOLID     ,CASTILLA Y LEON
VIZCAYA        ,PAIS VASCO
ZAMORA         ,CASTILLA Y LEON
ZARAGOZA       ,ARAGON
CEUTA          ,CEUTA
MELILLA        ,MELILLA
